Bible Verification Report

Genesis: expected 50, found 50, status=OK
Exodus: expected 40, found 40, status=OK
Leviticus: expected 27, found 27, status=OK
Numbers: expected 36, found 36, status=OK
Deuteronomy: expected 34, found 34, status=OK
Joshua: expected 24, found 24, status=OK
Judges: expected 21, found 21, status=OK
Ruth: expected 4, found 4, status=OK
1 Samuel: expected 31, found 31, status=OK
2 Samuel: expected 24, found 24, status=OK
1 Kings: expected 22, found 22, status=OK
2 Kings: expected 25, found 25, status=OK
1 Chronicles: expected 29, found 29, status=OK
2 Chronicles: expected 36, found 36, status=OK
Ezra: expected 10, found 10, status=OK
Nehemiah: expected 13, found 13, status=OK
Esther: expected 10, found 10, status=OK
Job: expected 42, found 42, status=OK
Psalms: expected 150, found 150, status=OK
Proverbs: expected 31, found 31, status=OK
Ecclesiastes: expected 12, found 12, status=OK
Song of Solomon: expected 8, found 8, status=OK
Isaiah: expected 66, found 66, status=OK
Jeremiah: expected 52, found 52, status=OK
Lamentations: expected 5, found 5, status=OK
Ezekiel: expected 48, found 48, status=OK
Daniel: expected 12, found 12, status=OK
Hosea: expected 14, found 14, status=OK
Joel: expected 3, found 3, status=OK
Amos: expected 9, found 9, status=OK
Obadiah: expected 1, found 1, status=OK
Jonah: expected 4, found 4, status=OK
Micah: expected 7, found 7, status=OK
Nahum: expected 3, found 3, status=OK
Habakkuk: expected 3, found 3, status=OK
Zephaniah: expected 3, found 3, status=OK
Haggai: expected 2, found 2, status=OK
Zechariah: expected 14, found 14, status=OK
Malachi: expected 4, found 4, status=OK
Matthew: expected 28, found 28, status=OK
Mark: expected 16, found 16, status=OK
Luke: expected 24, found 24, status=OK
John: expected 21, found 21, status=OK
Acts: expected 28, found 28, status=OK
Romans: expected 16, found 16, status=OK
1 Corinthians: expected 16, found 16, status=OK
2 Corinthians: expected 13, found 13, status=OK
Galatians: expected 6, found 6, status=OK
Ephesians: expected 6, found 6, status=OK
Philippians: expected 4, found 4, status=OK
Colossians: expected 4, found 4, status=OK
1 Thessalonians: expected 5, found 5, status=OK
2 Thessalonians: expected 3, found 3, status=OK
1 Timothy: expected 6, found 6, status=OK
2 Timothy: expected 4, found 4, status=OK
Titus: expected 3, found 3, status=OK
Philemon: expected 1, found 1, status=OK
Hebrews: expected 13, found 13, status=OK
James: expected 5, found 5, status=OK
1 Peter: expected 5, found 5, status=OK
2 Peter: expected 3, found 3, status=OK
1 John: expected 5, found 5, status=OK
2 John: expected 1, found 1, status=OK
3 John: expected 1, found 1, status=OK
Jude: expected 1, found 1, status=OK
Revelation: expected 22, found 22, status=OK
